,match_id,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,home_team_player_6,home_team_player_7,home_team_player_8,home_team_player_9,home_team_player_10,home_team_player_11,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5,away_team_player_6,away_team_player_7,away_team_player_8,away_team_player_9,away_team_player_10,away_team_player_11,stadium_name,weather,temperature,humidity
10,464,GK 古川 昌明 1,DF 大場 賢治 3,DF 大野 俊三 5,DF 奥野 僚右 4,DF 秋田 豊 2,MF 本田 泰人 6,MF サントス 8,MF 石井 正忠 10,MF 黒崎 比差支 9,FW 長谷川 祥之 11,FW アルシンド 7,GK 菊池 新吉 1,DF 柱谷 哲二 5,DF 石川 康 2,DF ペレイラ 3,DF パウロ 6,MF 加藤 善之 4,MF ラモス 瑠偉 10,MF 北澤 豪 8,MF ビスマルク 7,FW 武田 修宏 9,FW 三浦 知良 11,県立カシマサッカースタジアム,曇,9.0,68%
11,466,GK 森 敦彦 1,DF 岩井 厚裕 4,DF 大嶽 直人 6,DF 薩川 了洋 2,DF 渡辺 一平 3,MF 山口 素弘 5,MF エドゥー 10,MF 前園 真聖 7,MF バウベル 8,FW 前田 治 9,FW アマリージャ 11,GK 下川 健一 1,DF 木澤 正徳 2,DF 山本 健二 3,DF 宮澤 ミッシェル 5,DF 五十嵐 和也 4,MF フランタ 6,MF 後藤 義一 8,MF 江尻 篤彦 7,MF リトバルスキー 10,FW 新村 泰彦 11,FW 城 彰二 9,横浜市三ツ沢総合公園球技場,晴,14.0,26%
12,470,GK 下川 健一 1,DF 山本 健二 3,DF 宮澤 ミッシェル 5,DF 五十嵐 和也 4,DF 木澤 正徳 2,MF 後藤 義一 8,MF フランタ 6,MF 江尻 篤彦 7,MF リトバルスキー 10,FW オッツェ 11,FW 城 彰二 9,GK 土田 尚史 1,DF 堀 孝史 2,DF 田口 禎則 3,DF チョウ キジェ 4,DF 杉山 弘一 5,MF ウエハラ 8,MF 福田 正博 9,MF 保坂 信之 7,MF 岡島 清延 6,MF ルンメニゲ 10,FW 水内 猛 11,市原臨海競技場,晴,17.0,34%
13,471,GK 松永 成立 1,DF 平川 弘 2,DF 井原 正巳 4,DF 小泉 淳嗣 5,DF 永山 邦夫 3,MF 水沼 貴史 8,MF 野田 知 7,MF 山田 隆裕 10,MF ディアス 9,MF サパタ 6,FW メディナベージョ 11,GK 古川 昌明 1,DF 賀谷 英司 3,DF 大野 俊三 5,DF 奥野 僚右 4,DF 秋田 豊 2,MF 本田 泰人 6,MF サントス 8,MF 石井 正忠 10,MF 黒崎 比差支 9,FW 長谷川 祥之 11,FW アルシンド 7,横浜市三ツ沢総合公園球技場,曇,13.0,32%
14,472,GK シジマール 1,DF 堀池 巧 4,DF 内藤 直樹 2,DF 山田 泰寛 6,DF ロナウド 3,MF 三浦 泰年 5,MF 澤登 正朗 10,MF トニーニョ 8,FW 向島 建 11,FW 長谷川 健太 9,FW 永島 昭浩 7,GK 古島 清人 1,DF 公文 裕明 2,DF 名塚 善寛 6,DF 岩本 輝雄 4,DF 渡辺 卓 3,MF 反町 康治 9,MF 岩元 洋成 5,MF エジソン 8,MF ベッチーニョ 10,FW 野口 幸司 11,FW アウミール 7,日本平運動公園球技場,曇,17.0,40%
15,473,GK ﾊｰﾌﾅｰ・ﾃﾞｨﾄﾞ 1,DF 森 直樹 4,DF 小杉 敏之 2,DF 藤川 久孝 3,DF 浅野 哲也 5,MF 鶴田 道弘 6,MF 江川 重光 8,MF ジョルジーニョ 7,FW 後藤 太郎 11,FW 森山 泰行 10,FW 平野 孝 9,GK 本並 健治 1,DF 島田 貴裕 3,DF 今藤 幸治 2,DF 石井 壮二郎 5,DF 辛島 啓珠 4,MF 礒貝 洋光 10,MF 松山 吉之 8,MF 見田 雅之 6,MF アレイニコフ 7,FW 山口 敏弘 9,FW プロタソフ 11,名古屋市瑞穂球技場,晴時々曇,19.0,33%
16,474,GK 前川 和也 1,DF 佐藤 康之 2,DF 柳本 啓成 3,DF 片野坂 知宏 5,DF 森山 佳郎 4,MF 風間 八宏 8,MF 森保 一 7,MF 盧 廷潤 9,MF ハシェック 6,FW 島 卓視 11,FW 高木 琢也 10,GK 森 敦彦 1,DF 岩井 厚裕 4,DF 大嶽 直人 6,DF 薩川 了洋 2,DF 渡辺 一平 3,MF 山口 素弘 5,MF エドゥー 10,MF 前園 真聖 7,MF バウベル 8,FW 前田 治 9,FW アマリージャ 11,広島スタジアム,晴,15.0,46%
17,475,GK 菊池 新吉 1,DF 石川 康 2,DF ペレイラ 3,DF 河本 充弘 6,MF ラモス 瑠偉 10,MF 北澤 豪 8,MF ビスマルク 7,MF 加藤 善之 4,MF 柱谷 哲二 5,FW 武田 修宏 9,FW 三浦 知良 11,GK 森下 申一 1,DF パウス 3,DF 東川 昌典 5,DF 伊達 倫央 4,DF 遠藤 昌浩 2,MF 古俣 健次 6,MF 吉田 裕幸 8,MF 古賀 琢磨 7,MF ファネンブルグ 10,FW 中山 雅史 9,FW 鈴木 将方 11,国立霞ヶ丘競技場,曇,11.0,50%
18,481,GK 森下 申一 1,DF 東川 昌典 5,DF 伊達 倫央 4,DF 遠藤 昌浩 2,DF パウス 3,MF 古俣 健次 6,MF 古賀 琢磨 7,MF 吉田 裕幸 8,MF ファネンブルグ 10,FW 中山 雅史 9,FW 鈴木 将方 11,GK 本並 健治 1,DF 辛島 啓珠 4,DF 島田 貴裕 3,DF 今藤 幸治 2,DF 石井 壮二郎 5,MF 礒貝 洋光 10,MF 見田 雅之 6,MF 松山 吉之 8,MF アレイニコフ 7,FW 山口 敏弘 9,FW プロタソフ 11,静岡県営草薙陸上競技場,雨,14.0,64%
19,477,GK 土田 尚史 1,DF 本吉 剛 3,DF 堀 孝史 2,DF チョウ キジェ 4,DF 杉山 弘一 5,MF ウエハラ 8,MF 福田 正博 9,MF 保坂 信之 7,MF 岡島 清延 6,MF ルンメニゲ 10,FW 水内 猛 11,GK 前川 和也 1,DF 佐藤 康之 2,DF 柳本 啓成 3,DF 片野坂 知宏 5,DF 森山 佳郎 4,MF 風間 八宏 8,MF 森保 一 7,MF 盧 廷潤 9,MF ハシェック 6,FW 島 卓視 11,FW 高木 琢也 10,浦和市駒場スタジアム,雨,11.0,63%
